,title,view,channel,uploadtime,length,link,subscriber,like,dislike
71,Coronavirus expert says he has second thoughts about flying,820K views,CNN,1 day ago,9:34,https://www.youtube.com/watch?v=63M9ZQd2B7M,8.77M,"7,267",804
72,Americans Try To Leave Spain Before Coronavirus Ban: 'I Just Hope To Be Able To Get Home' | NBC News,106K views,NBC News,2 days ago,1:46,https://www.youtube.com/watch?v=gQMbyvIXYQk,2.02M,564,121
73,Coronavirus: Johnson warns 'many more families are going to lose loved ones',296K views,Guardian News,2 days ago,1:46,https://www.youtube.com/watch?v=PA-MsoqRY5k,857K,895,717
74,Nicola Sturgeon Says Coronavirus Spread is Inevitable | Good Morning Britain,53K views,Good Morning Britain,2 days ago,8:26,https://www.youtube.com/watch?v=LIovPxislWk,613K,348,283
75,Trump Addresses The Nation On Coronavirus From Oval Office | NBC News (Live Stream Recording),1M views,NBC News,Streamed 3 days ago,17:25,https://www.youtube.com/watch?v=I09RkjLcFpU,2.02M,"6,620","2,725"
76,"Trump’s Coronavirus Address, Blooper Reel Included | The Daily Show",3.3M views,The Daily Show with Trevor Noah,2 days ago,9:23,https://www.youtube.com/watch?v=BWO6i8cH8SA,6.61M,"69,567","2,787"
77,Coronavirus Test Shortage Raises Alarm As Washington State Bans Mass Gatherings | NBC Nightly News,358K views,NBC News,3 days ago,14:20,https://www.youtube.com/watch?v=JLZjUz9ZTn0,2.02M,"2,336",181
78,Coronavirus: COVID-19 declared a global pandemic | Nine News Australia,175K views,Nine News Australia,3 days ago,5:17,https://www.youtube.com/watch?v=G0vd0LhL_gM,290K,"1,067",131
79,Tom Hanks And Wife Rita Wilson Say They Have Coronavirus | TODAY,153K views,TODAY,2 days ago,2:57,https://www.youtube.com/watch?v=rLuYn0XPkyk,1.79M,"1,611",107
80,Bill de Blasio - Confronting the Coronavirus Outbreak in New York City | The Daily Show,1M views,The Daily Show with Trevor Noah,3 days ago,15:28,https://www.youtube.com/watch?v=aM2DZjsgAlA,6.61M,"15,827","2,451"
81,NBA suspends season due to coronavirus | SportsCenter,600K views,ESPN,3 days ago,4:52,https://www.youtube.com/watch?v=zNWBz4GCiUo,6.79M,"6,683",238
82,"Coronavirus around the world: March 12, 2020",340K views,Global News,2 days ago,3:26,https://www.youtube.com/watch?v=cAJppuDz-Mg,1.25M,"1,639",139
83,W.H.O declares coronavirus 'pandemic' - as UK sees highest daily rise in cases,816K views,Channel 4 News,3 days ago,13:55,https://www.youtube.com/watch?v=vFaC8hKovlQ,1.17M,"6,232",737
84,"ABC News Prime: Coronavirus, Italy Lockdown, Iraq",235K views,ABC News,Streamed 2 days ago,1:01:31,https://www.youtube.com/watch?v=NF7owuYjnWA,7.93M,"1,331",227
85,Italy Under Lockdown As Coronavirus Death Toll Jumps Dramatically | TODAY,474K views,TODAY,2 days ago,1:58,https://www.youtube.com/watch?v=AqAImF_mJtY,1.79M,"1,888",153
86,Coronavirus: What is a pandemic and why use the term now?  - BBC News,389K views,BBC News,2 days ago,7:45,https://www.youtube.com/watch?v=mmSJQul260g,6.6M,"3,195",209
87,Coronavirus: Should the UK quarantine like Italy? - BBC,496K views,BBC,3 days ago,7:00,https://www.youtube.com/watch?v=_zlwWDS-DCs,8.17M,"4,206",417
88,Tom Hanks and Rita Wilson test positive for coronavirus,554K views,CNN,3 days ago,8:49,https://www.youtube.com/watch?v=Wbk8ZrfU3EM,8.77M,"5,469","1,125"
