,title,view,channel,uploadtime,length,link,subscriber,like,dislike
55,New Cases Of Coronavirus Across U.S. Causes Criticism Of Trump's Response To Grow | NBC Nightly News,681K views,NBC News,3 days ago,16:03,https://www.youtube.com/watch?v=ODNtD86cRso,1.96M,"4,778",644
56,CORONAVIRUS PANDEMIC EXPLAINED - CORONA OUTBREAK 2020,342K views,MEDSimplified,4 days ago,10:07,https://www.youtube.com/watch?v=sWjYs7aILZ8,269K,"5,266",321
57,Briton who contracted coronavirus in Wuhan explains symptoms,202K views,Guardian News,3 days ago,1:50,https://www.youtube.com/watch?v=PU2ut5Ark3Q,842K,"1,342",165
58,Trump Praises Coronavirus Response As Cases Rack Up And Markets Spiral | The 11th Hour | MSNBC,199K views,MSNBC,3 days ago,5:01,https://www.youtube.com/watch?v=2cBZ77m9dHs,2.42M,"2,272",199
59,Coronavirus Task Force Gives Update On COVID-19 | NBC News (Live Stream),235K views,NBC News,Streamed 3 days ago,35:11:00,https://www.youtube.com/watch?v=-kE8yd61MJU,1.96M,"1,318",640
60,PM reacts to UK's first coronavirus-related death,652K views,Sky News,4 days ago,2:35,https://www.youtube.com/watch?v=AtfGK1eImRo,1.86M,"4,723",799
61,Watch live: Gov. Cuomo holds coronavirus press briefing,136K views,NBC News,Streamed 2 days ago,44:49:00,https://www.youtube.com/watch?v=x-ioSQSkfec,1.96M,"1,085",206
62,Coronavirus crisis in US as more cases are reported l ABC News,640K views,ABC News,3 days ago,4:11,https://www.youtube.com/watch?v=Qow1al_afYQ,7.86M,"5,024",732
63,"Coronavirus coverage: Sunday, March 8 at 8 a.m.",34K views,KING 5,1 day ago,4:20,https://www.youtube.com/watch?v=fhwGca6ZT-w,80K,277,20
64,Coronavirus: Half of California cruise passengers test positive | Nine News Australia,101K views,Nine News Australia,3 days ago,2:18,https://www.youtube.com/watch?v=BzGQ7pXJ998,280K,688,116
65,Coronavirus and pets: can my dog or cat spread the disease?,30K views,Guardian News,3 days ago,3:10,https://www.youtube.com/watch?v=V4jw47bKQfw,842K,176,24
66,Former FDA chief warns of economic impact of coronavirus outbreak,47K views,Face the Nation,1 day ago,6:15,https://www.youtube.com/watch?v=VA-LqgKMD2E,127K,482,31
67,Coronavirus expert: 'War is an appropriate analogy',1.6M views,Channel 4 News,3 days ago,19:53,https://www.youtube.com/watch?v=dcJDpV-igjs,1.13M,"21,299","1,303"
68,Judge Jeanine: Media hit the panic button over coronavirus,243K views,Fox News,1 day ago,9:06,https://www.youtube.com/watch?v=JNeYRwChLfE,4.44M,"8,929",958
69,Iran MP dies from coronavirus as total toll spikes,206K views,Al Jazeera English,2 days ago,3:09,https://www.youtube.com/watch?v=C7aAs28KPEE,4.69M,"1,607",96
70,How US communities are reacting to coronavirus,273K views,ABC News,3 days ago,5:42,https://www.youtube.com/watch?v=BiGWVklFFDw,7.86M,"2,306",397
71,"With the coronavirus, 'pay attention to the basics'",47K views,PBS NewsHour,1 day ago,14:05,https://www.youtube.com/watch?v=1BSwS9Rmhys,1.67M,609,38
72,"COVID-19 (Coronavirus Disease 19) - causes, symptoms, diagnosis, treatment, pathology",791K views,Osmosis,3 weeks ago,12:21,https://www.youtube.com/watch?v=eup3_i_5uaw,1.41M,"13,899",409
73,Neil deGrasse Tyson On Coronavirus: Will People Listen To Science?,2.3M views,The Late Show with Stephen Colbert,3 days ago,10:55,https://www.youtube.com/watch?v=jB4FUHHMI24,7.24M,"46,406","2,203"
74,What Is Coronavirus (COVID-19)?,397K views,Johns Hopkins Medicine,2 weeks ago,4:31,https://www.youtube.com/watch?v=sHP0UIdZyI4,155K,"2,685",268
75,Bernie Sanders talks coronavirus on the campaign trail,344K views,CNN,1 day ago,10:18,https://www.youtube.com/watch?v=UxiJ_bqD2Ds,8.71M,"5,980",509
76,Italy scrambles to contain coronavirus outbreak,88K views,CBS News,3 days ago,7:26,https://www.youtube.com/watch?v=XZVj8dEq5UA,2.39M,436,61
77,Chris Hayes: Trump Is Trying To BS His Way Through The Coronavirus Outbreak | All In | MSNBC,980K views,MSNBC,3 days ago,11:16,https://www.youtube.com/watch?v=Ow5bhEi6EdY,2.42M,"18,880","2,185"
78,Coronavirus outbreak claims lives of more than a dozen Life Care Center residents,76K views,KING 5,Streamed 2 days ago,23:42,https://www.youtube.com/watch?v=YcT9EQTj4qA,80K,902,71
79,Novel coronavirus (2019-nCoV),2M views,World Health Organization (WHO),1 month ago,4:49,https://www.youtube.com/watch?v=mOV1aBVYKGA,181K,"9,813",575
80,Coronavirus: How afraid should we be? | Question Time - BBC,151K views,BBC,3 days ago,29:35:00,https://www.youtube.com/watch?v=dCZaeLDDeBo,8.15M,"1,370",295
81,Trump Keeps Lying About the Coronavirus Outbreak: A Closer Look,2.3M views,Late Night with Seth Meyers,4 days ago,9:22,https://www.youtube.com/watch?v=JiqFnKXf3do,3.48M,"36,847","1,818"
82,Coronavirus: Countries need to 'help each other' as deaths increase - BBC Newsnight,47K views,BBC Newsnight,4 days ago,7:50,https://www.youtube.com/watch?v=yNxAmRAYagQ,519K,459,106
83,Coronavirus cruise ship quarantined off California coast,201K views,CBS This Morning,4 days ago,3:07,https://www.youtube.com/watch?v=Oi__oRijPnM,1.23M,"1,524",169
84,Coronavirus: Cruise Ship Held Off California Coast After Passenger Dies | TODAY,233K views,TODAY,4 days ago,5:07,https://www.youtube.com/watch?v=Cz0bTuYT93Y,1.77M,"1,638",108
85,"Coronavirus coverage: Saturday, March 7 at 5:00 p.m.",38K views,KING 5,2 days ago,8:08,https://www.youtube.com/watch?v=0DT0ckKmQSM,80K,303,19
86,Steve Wozniak talks to Sanjay Gupta about coronavirus scare,253K views,CNN,3 days ago,7:52,https://www.youtube.com/watch?v=edxkrkKSVXU,8.71M,"2,140",331
87,Doctor Fact-Checks Media On Coronavirus,1.9M views,Doctor Mike,1 day ago,9:37,https://www.youtube.com/watch?v=5CRxyHU9Oxo,5.2M,"136,466","1,782"
88,Coronavirus Patient Explains The Worst Symptoms | NBC News,869K views,NBC News,4 days ago,3:18,https://www.youtube.com/watch?v=NLGX2L9JLa8,1.96M,"7,986",441
89,"Coronavirus Symptoms, Diagnosis, Treatment, & Vaccine Status",1M views,MedCram - Medical Lectures Explained CLEARLY,1 month ago,4:33,https://www.youtube.com/watch?v=UCG3xqtcL3c,572K,"10,747",451
90,Johns Hopkins Experts Brief Capitol Hill on Coronavirus (COVID-19),161K views,Johns Hopkins University,Streamed 3 days ago,1:29:08,https://www.youtube.com/watch?v=Pnk8DuAly9Y,20.8K,"1,654",169
91,The fallout from the new coronavirus now spreading coast to coast | WNT,463K views,ABC News,3 days ago,3:28,https://www.youtube.com/watch?v=xoXjJd2Ae18,7.86M,"4,667",268
92,Trump Is Not Telling The Truth About The Coronavirus | The 11th Hour | MSNBC,331K views,MSNBC,4 days ago,5:37,https://www.youtube.com/watch?v=HbVjOmDAILg,2.42M,"2,810","2,254"
93,How to stop the spread of coronavirus,257K views,Guardian News,5 days ago,4:31,https://www.youtube.com/watch?v=3jpXAMwRSu4,842K,"1,271",85
94,"Asian Americans see racism, discrimination amid coronavirus panic",165K views,CBS This Morning,3 days ago,4:32,https://www.youtube.com/watch?v=Vc7y7TQe_Dg,1.23M,"3,065",305
95,Scaramucci takes 'defensive position' as coronavirus outbreak affects economy,244K views,CNN,5 days ago,10:11,https://www.youtube.com/watch?v=wQrGiDQXbrk,8.71M,"2,331",340
96,"Coronavirus cases surpass 100,000 worldwide",41K views,CBS Evening News,3 days ago,3:43,https://www.youtube.com/watch?v=z9wKnkEpnCU,692K,255,22
97,Coronavirus: doctors and nurses in Iran filmed dancing in bid to boost morale,146K views,Guardian News,5 days ago,0:45,https://www.youtube.com/watch?v=wamoQYVI0ww,842K,"1,104",133
98,Coronavirus: China combats ever-strengthening disease,2.6M views,The Telegraph,1 month ago,1:44,https://www.youtube.com/watch?v=P6t3SxhvRuE,927K,"10,032",877
99,The Virus: An in-depth look at the coronavirus crisis | ABC News,103K views,ABC News (Australia),3 days ago,15:16,https://www.youtube.com/watch?v=qgfbfEbsp3I,922K,568,119
100,"213 dead, 9,692 cases of coronavirus confirmed in China",1.5M views,ARIRANG NEWS,1 month ago,3:03,https://www.youtube.com/watch?v=0YOVPIQuvAw,276K,"8,963",552
101,"Global National: March 5, 2020 | Coronavirus cases continue to rise in Canada and around the world",236K views,Global News,4 days ago,21:12,https://www.youtube.com/watch?v=ueA2d_TjTVU,1.21M,"1,249",153
102,Coronavirus outbreak: Canadian WHO doctor returns from China with critical COVID-19 lessons,340K views,Global News,4 days ago,11:47,https://www.youtube.com/watch?v=XUI6DIswmFk,1.21M,"3,710",389
103,Coronavirus: Inside the lab trying to fight Covid-19 - BBC Newsnight,12K views,BBC Newsnight,3 days ago,5:06,https://www.youtube.com/watch?v=IQkxHovgHYk,519K,115,9
104,Coronavirus Explained: What happens next? - BBC News,374K views,BBC News,4 days ago,9:59,https://www.youtube.com/watch?v=Mj81jKkQMOg,6.53M,"3,677","1,099"
