,title,view,channel,uploadtime,length,link,subscriber,like,dislike
57,Coronavirus lockdown in Italy as 16 million people quarantined,538K views,Channel 4 News,2 days ago,7:35,https://www.youtube.com/watch?v=jQsKe2n3bk4,1.14M,"3,666",281
58,Corona Virus के बारे में जनता की जानकारी | Q&A | Coronavirus Disease | COVID 19 | Precautions | WHO,137K views,The Lallantop,3 days ago,4:37,https://www.youtube.com/watch?v=DoMTUTuDtGE,12M,"1,621",244
59,'Very difficult to tell' what coronavirus death toll will be,100K views,Sky News,2 days ago,6:39,https://www.youtube.com/watch?v=QTRq1NWjWZA,1.87M,630,115
60,Journalist goes undercover at wet markets where the Coronavirus started | 60 Minutes Australia,1.9M views,60 Minutes Australia,2 days ago,27:31,https://www.youtube.com/watch?v=Y7nZ4mw4mXw,1.62M,"22,594","3,215"
61,State of Emergency in New York with at least 76 coronavirus cases,471K views,ABC News,3 days ago,2:52,https://www.youtube.com/watch?v=b7aX6-NkWaM,7.87M,"3,466",584
62,Wuhan Today: Food delivery in coronavirus epicenter,161K views,New China TV,1 day ago,4:56,https://www.youtube.com/watch?v=TAsTMl3txyQ,684K,"1,468",77
63,"At least 12 dead, 188 infected in US as coronavirus continues to spread | Nightline",1.4M views,ABC News,3 days ago,8:02,https://www.youtube.com/watch?v=7hB13abLQkE,7.87M,"13,255","1,812"
64,Coronavirus: Milan set for lockdown,534K views,Sky News,3 days ago,3:11,https://www.youtube.com/watch?v=Zh3YBVjDXfY,1.87M,"3,258",197
65,Follow these simple steps to avoid spreading of Corona Virus…,344K views,Narendra Modi,3 days ago,7:24,https://www.youtube.com/watch?v=PTaeZggiMrM,4.56M,"30,962","1,713"
66,More than 200 confirmed cases of coronavirus in UK,253K views,Channel 4 News,3 days ago,7:03,https://www.youtube.com/watch?v=deetyCSM9DU,1.14M,"2,231",238
67,"China का Coronavirus कितनी Heat झेल पाएगा, SARS और MERS की Research से समझिए | Sciencekaari |Covid19",848K views,The Lallantop,2 days ago,4:28,https://www.youtube.com/watch?v=F-FgqC9YVIA,12M,"22,885","1,047"
68,All of Italy on lockdown over coronavirus outbreak,2.3K views,CNN,21 hours ago,8:18,https://www.youtube.com/watch?v=v_vDjR5zBDk,8.72M,"1,805",298
69,Family at center of NYC coronavirus outbreak speaks out l GMA,6.4K views,Good Morning America,1 day ago,3:12,https://www.youtube.com/watch?v=-SBLbf_Ohd8,1.5M,71,5
70,A second person in the UK has died from coronavirus,299K views,Sky News,4 days ago,1:56,https://www.youtube.com/watch?v=D3UJwzhXtKM,1.87M,"2,203",281
71,Coronavirus and pets: can my dog or cat spread the disease?,33K views,Guardian News,4 days ago,3:10,https://www.youtube.com/watch?v=V4jw47bKQfw,843K,191,26
72,Fact-checker FullFact busts coronavirus conspiracy theories | LBC,35K views,LBC,1 day ago,5:56,https://www.youtube.com/watch?v=EgNAxAzSiZ8,208K,343,277
73,21 people aboard Grand Princess cruise ship test positive for coronavirus: Pence | ABC News,71K views,ABC News,4 days ago,1:09,https://www.youtube.com/watch?v=NSAHO-XcJew,7.87M,491,102
74,The Ingraham Angle Coronavirus Cold Open - SNL,4.5M views,Saturday Night Live,2 days ago,9:21,https://www.youtube.com/watch?v=XezLiezWN0E,9.91M,"52,853","4,446"
75,Trump signs coronavirus spending bill,81K views,CBS News,4 days ago,11:33,https://www.youtube.com/watch?v=IMDQikAa0bE,2.39M,988,176
76,Coronavirus | What Is Coronavirus | Symptoms Of Coronavirus,544K views,AbrahamThePharmacist,1 month ago,8:50,https://www.youtube.com/watch?v=qJKmLTDLyws,159K,"6,036",362
77,China hotel collapses with quarantined coronavirus patients inside,761K views,ABC News,3 days ago,1:47,https://www.youtube.com/watch?v=0vbplrxtqKE,7.87M,"4,366",670
78,CORONAVIRUS: Jens Spahn zur aktuellen Lage im Kampf gegen COVID-19,82K views,WELT Nachrichtensender,Streamed 1 day ago,1:19:09,https://www.youtube.com/watch?v=1ijjRhQO6M4,408K,558,340
79,"Coronavirus: Second British death and more than 100,000 cases worldwide - BBC News",515K views,BBC News,4 days ago,16:17,https://www.youtube.com/watch?v=nETgZwRuJPU,6.54M,"4,282",328
80,Coronavirus crisis in US as more cases are reported l ABC News,648K views,ABC News,4 days ago,4:11,https://www.youtube.com/watch?v=Qow1al_afYQ,7.87M,"5,047",734
81,"At least 234 people have been diagnosed with coronavirus in US, according to CDC | ABC News",763K views,ABC News,3 days ago,4:21,https://www.youtube.com/watch?v=jK7NJEvw7Wc,7.87M,"5,506",573
82,Trump Praises Coronavirus Response As Cases Rack Up And Markets Spiral | The 11th Hour | MSNBC,207K views,MSNBC,3 days ago,5:01,https://www.youtube.com/watch?v=2cBZ77m9dHs,2.42M,"2,276",200
83,Trump says he will not stop campaign rallies over coronavirus,156K views,CBS This Morning,3 days ago,2:55,https://www.youtube.com/watch?v=t1PzqP-oolc,1.23M,"1,089",502
84,CORONAVIRUS PANDEMIC EXPLAINED - CORONA OUTBREAK 2020,394K views,MEDSimplified,5 days ago,10:07,https://www.youtube.com/watch?v=sWjYs7aILZ8,269K,"5,866",362
85,Italy scrambles to contain coronavirus outbreak,90K views,CBS News,4 days ago,7:26,https://www.youtube.com/watch?v=XZVj8dEq5UA,2.39M,439,62
86,What Is Coronavirus (COVID-19)?,397K views,Johns Hopkins Medicine,2 weeks ago,4:31,https://www.youtube.com/watch?v=sHP0UIdZyI4,155K,"2,832",283
87,Coronavirus Task Force Gives Update On COVID-19 | NBC News (Live Stream),237K views,NBC News,Streamed 4 days ago,35:11,https://www.youtube.com/watch?v=-kE8yd61MJU,1.96M,"1,324",642
