,title,view,channel,uploadtime,length,link,subscriber,like,dislike,clean_text
111,Coronavirus: 55 people exposed to disease in Australia | Nine News Australia,682000,Nine News Australia,120,542,https://www.youtube.com/watch?v=mHcwX2yiLkU,280000,4151,711,coronavirus people exposed disease australia nine news australia
112,Britain hit by surge in coronavirus cases,999000,Sky News,120,199,https://www.youtube.com/watch?v=4DdNwX9n7dw,1860000,5906,527,britain hit surge coronavirus case
113,Why It's Not A Time For Trump's Hunches On Coronavirus | Morning Joe | MSNBC,502000,MSNBC,96,536,https://www.youtube.com/watch?v=JQjqxO7N08I,2420000,5839,806,time trump hunch coronavirus morning joe msnbc
114,Coronavirus outbreak: Mother of sick daughter from virus-hit region pleads for help,3800000,Global News,720,224,https://www.youtube.com/watch?v=NytLE5ECa8M,1210000,27580,1772,coronavirus outbreak mother sick daughter virushit region pleads help
115,Coronavirus death toll climbs in US l ABC News,511000,ABC News,120,166,https://www.youtube.com/watch?v=8uybFoGCzOo,7860000,4361,593,coronavirus death toll climb u l abc news
116,State Of Emergency In Los Angeles County Over Coronavirus Outbreak | NBC Nightly News,2100000,NBC News,120,515,https://www.youtube.com/watch?v=FYpl_5cWWfU,1960000,15585,2042,state emergency los angeles county coronavirus outbreak nbc nightly news
117,"Is the coronavirus outbreak in Wuhan, China under control? | ITV News",221000,ITV News,120,134,https://www.youtube.com/watch?v=TY4El-CEHQs,433000,1072,200,coronavirus outbreak wuhan china control itv news
118,Chris Hayes On Trump’s Failing Response To Coronavirus | All In | MSNBC,371000,MSNBC,120,298,https://www.youtube.com/watch?v=hWc2A-BwKnM,2420000,8868,437,chris hayes trump failing response coronavirus msnbc
119,Coronavirus in China: The fight against the outbreak,2000000,CBC News: The National,720,172,https://www.youtube.com/watch?v=V0qxJzv3ssc,660000,7087,726,coronavirus china fight outbreak
120,क्या Chicken खाने से हो सकता है कोरोना वायरस? | Coronavirus China in Hindi | Coronavirus India News,1100000,Adda247,504,832,https://www.youtube.com/watch?v=mjkjP51tznk,3540000,18121,2037,chicken coronavirus china hindi coronavirus india news
121,Coronavirus: Death toll rises as virus spreads to every Chinese region - BBC News,3600000,BBC News,720,612,https://www.youtube.com/watch?v=6vHEJL-RVMk,6530000,28047,1961,coronavirus death toll rise virus spread every chinese region bbc news
122,What Washington’s response to coronavirus tells us,157000,CNN,96,368,https://www.youtube.com/watch?v=rljfwYO5zZg,8710000,1401,841,washington response coronavirus tell u
123,Coronavirus: Italy to close all schools as deaths rise - BBC News,1100000,BBC News,120,733,https://www.youtube.com/watch?v=PGjeMDpIf8M,6530000,9319,694,coronavirus italy close school death rise bbc news
124,Spike in coronavirus cases and fatalities around the world,828000,ABC News,168,226,https://www.youtube.com/watch?v=eVmQDR4vKRM,7860000,7903,888,spike coronavirus case fatality around world
125,What happens to your body when you get coronavirus,1100000,The Telegraph,120,126,https://www.youtube.com/watch?v=2bI5pQGXl2o,927000,11282,649,happens body get coronavirus
126,"‘Please take my daughter’, pleads mother of cancer patient at coronavirus blockade in China",1200000,South China Morning Post,720,182,https://www.youtube.com/watch?v=hP6ycqZmYc4,920000,14018,544,please take daughter pleads mother cancer patient coronavirus blockade china
127,Trump Doubts Coronavirus Science,1000000,Jimmy Kimmel Live,96,462,https://www.youtube.com/watch?v=IiUCja0a8kc,16300000,16468,1035,trump doubt coronavirus science
128,How Coronavirus Kills: Acute Respiratory Distress Syndrome (ARDS) & Treatment,2100000,MedCram - Medical Lectures Explained CLEARLY,720,665,https://www.youtube.com/watch?v=okg7uq_HrhQ,572000,35980,1074,coronavirus kill acute respiratory distress syndrome ards treatment
129,"Coronavirus: Can China contain outbreak that has infected 2,700 people?",1400000,Channel 4 News,720,668,https://www.youtube.com/watch?v=2rUyz8MXorU,1130000,9873,698,coronavirus china contain outbreak infected people
130,Última hora El Tiempo: se confirma primer caso de coronavirus en Colombia,596000,EL TIEMPO,72,7176,https://www.youtube.com/watch?v=E3mZZ-tr9AM,455000,1327,167,ltima hora el tiempo se confirma primer caso de coronavirus en colombia
131,Coronavirus may have originated from Wuhan market,2200000,CBS News,720,418,https://www.youtube.com/watch?v=-JFC81JEoIw,2390000,8793,1346,coronavirus may originated wuhan market
132,Coronavirus and warm weather: Explaining the potential impact of seasonality,96000,Washington Post,144,201,https://www.youtube.com/watch?v=bLr09SVhqsQ,992000,715,114,coronavirus warm weather explaining potential impact seasonality
133,"Coronavirus deaths in Italy at 79, China cases slow",230000,Al Jazeera English,144,134,https://www.youtube.com/watch?v=XJU-4kQr_6o,4690000,1097,92,coronavirus death italy china case slow
